_id,NOSUNNUM,BUSLINEID,COMPANY,START,MIDD,END,FKM,FMIN,NOMAL1,NOMAL2,SATTIME,REDTIME,STARTTIME,ENDTIME
86,167,5200167000,동남 창성,동서대,부산역,동아대병원,31.4 ,106 ,6 ,7~8,9,10,05:00,22:55
87,169,5200169000,태진,당감4동,서부터미널,신만덕,39.4 ,136 ,5 ,6,6,6 ,05:00,22:15
88,179,5200179000,삼화,회동동,시청,국제백양,32.0 ,130 ,5 ,8,6,8 ,04:55,23:05
89,180,5200180000,부산 부일,해운대신시가지,기장,한빛3차아파트,67.7 ,160 ,60 ,60 ,60 ,60 ,04:50,21:50
90,181,5200181000,해동,기장,해운대,센텀파크,47.0 ,137 ,18 ,20,18,18 ,05:00,22:00
91,182,5200182000,일광,청강리,정관신도시,청강리,0,0,0,0,0,0,05:00,22:20
92,183,5200183000,세익,기장,서동고개,부산대,43.7 ,125 ,12 ,12 ,14 ,14 ,05:00,22:20
93,186,5200186000,세진,청학동,범곡R,서부터미날,44.0 ,135 ,10 ,11,11,15 ,05:00,22:00
94,188,5200188000,세진,반송,기장,좌천,49.4 ,110 ,18 ,20,20,20 ,04:20,22:50
95,189,5200189000,대진,반송,온천장,사직운동장,31.2 ,120 ,6 ,6~8,7~10,7~10,05:20,22:40
96,190,5200190000,세진 신한 유한,청학동,부산역,남부민동,35.5 ,110,9 ,10,10,11,05:00,22:20
97,200,5200200000,세익,해운대,신만덕,신라대,50.8 ,160 ,8 ,8,10,10 ,05:00,22:20
98,203,5200203000,일광,온천지하철역,식물원,산성,15.6,60,15,15,10,10,05:35,22:55
99,210,5200210000,국제,사직동,동래,민락활어 직판장,29.4 ,115 ,9 ,10 ,11 ,14 ,04:50,22:30
100,221,5200221000,태영,장유병원,장유아울렛 경마공원,하단 지하철,62.4 ,140 ,60 ,60,60,60 ,06:00,20:00
101,301,5200301000,삼신,서창,구서시장,부산대학교,61.0 ,150 ,19 ,20,20,24,05:00,22:00
102,307,5200307000,일광,해운대역,동래,공항,64.5 ,190 ,17 ,23,25,25 ,05:00,22:00
103,333,5200333000,알수없음,부산역,부산컴퓨터과학고교,부산역,0,0,0,0,0,0,06:00,22:00
104,338,5200338000,동남 동원 동진 태영,다대포,"서부터미널",모라주공,51.0 ,170 ,12 ,14~15,20~21,21~22,05:00,21:45
105,506,5200506000,삼성,반여4동,안락교차로,교대지하철역,14.6 ,60 ,15 ,19 ,15 ,24 ,05:20,22:40
106,508,5200508000,남부,청학동,중앙동,부산역,20.1 ,67 ,9 ,10 ,12 ,14 ,05:00,23:16
107,520,5200520000,태영,용원,을숙도대교,부산역,72.0 ,190 ,20 ,25,20,25 ,05:00,21:00
108,583,5200583000,창성 용화,용당동,서면,자유시장,27.0 ,75 ,16 ,17~18,17~18,21~24,05:00,22:10
109,1000,5201000000,동원,다대포,부산역,서면,44.2 ,130 ,9 ,10 ,12 ,13 ,05:00,22:15
110,1001,5201001000,부일,신시가지,부산역,하단,59.0 ,160 ,6 ,8 ,8 ,9 ,04:40,22:30
111,1002,5201002000,삼신,서창,안락동,더샾센텀파크,75.7 ,186 ,10 ,11~12,11~12,12~13,04:50,22:00
112,1003,5201003000,부산,기장,부산역,대학병원,70.0 ,186,6 ,9,10,11,04:20,22:20
113,1004,5201004000,태영,김해,서면,부산역,65.3 ,185 ,9 ,10,9,11 ,04:50,21:40
114,1007,5201007000,삼신 세진,정관,센텀시티,시청,70.6 ,138 ,20 ,24,24,24 ,05:00,22:10
115,1008,5201008000,삼신,원자력의학원,동래역,원자력의학원,63.6 ,126 ,25 ,30,25,25 ,05:00,22:00
116,1009,5201009000,금진 성원 삼진,"금곡주차장",구포역,"가덕선착장",94.0 ,220 ,40 ,40,40,40 ,05:20,20:50
117,1010,5201010000,부일,덕전마을,서면,덕전마을,0,0,0,0,0,0,05:10,22:40
118,58-1,5200058100,태영,"진해청안동","하단지하철",충무동,62.2 ,160 ,30 ,35,30,30 ,04:30,23:20
119,58-2,5200058200,태영,용원,"하단지하철",사하구청,39.5 ,110 ,12 ,13 ,13 ,13 ,05:00,22:30
120,83-1,5200083100,용화 학성,민락동,"부산진구청",사직동,41.6 ,154 ,15 ,16~18,16~18,16~18,05:00,23:00
121,5-1,5200005100,삼성,반여1동,서면,충무동,48.4 ,170 ,11 ,13,15,17 ,04:50,22:20
122,9-1,5200009100,남부,청학동,남포동,감천항,31.3 ,90 ,20 ,22 ,20 ,20 ,04:50,22:55
123,1000(심야),5201000F00,동원,다대포,남포동,서면,55.8,145,10,10,10,10,22:28,23:55
124,100-1,5200100100,해동,송정,동래,부산대,41.7 ,140 ,7 ,8,8,10 ,05:00,22:20
125,1002(심야),5201002F00,삼신,서창,부산대,서면한전앞,76.8,152,20,20,20,20,22:20,23:00
126,1003(심야),5201003F00,부산,기장,부산역,대학병원,66,180,12~13,12~13,12~13,12~13,22:30,23:45
127,1004(심야),5201004F00,태영,김해구산동,서면,서구청,75,170,20~30,20~30,20~30,20~30,22:00,23:40
128,1008(오전),5201008000,삼신,원자력의학원,동래역,원자력의학원,63.6 ,126 ,25 ,30,25,25 ,05:00,22:00
129,110-1,5200110100,대도,벽산APT,시청,온천장,29.0 ,95 ,5 ,5,5,6 ,05:00,23:00
