_id,BUSLINENUM,ORD,BUSSTOPNAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID,REALTIME,
52,10,52,문현3동주민센터,부산광역시,남구,문현3동,129.0709752,35.13898826,07040,21070681006,179790201,
53,10,53,문현교차로,부산광역시,남구,문현3동,129.0701294,35.13713748,07046,21070681003,179860402,
54,10,54,자성대,부산광역시,동구,범일2동,129.0624202,35.13737074,03143,21030661016,169820301,
55,10,55,부산진소방서,부산광역시,동구,범일2동,129.0595682,35.13985387,13147,21030661024,0,
56,10,56,중앙시장,부산광역시,부산진구,범천1동,129.0595322,35.14271858,05219,21050771016,164220302,
57,10,57,상공회의소,부산광역시,부산진구,범천1동,129.0610247,35.14776933,05223,21050771010,164090201,
58,10,58,지오플레이스,부산광역시,부산진구,전포3동,129.063214,35.14919404,05238,21050621003,164160301,
59,10,59,부전도서관,부산광역시,부산진구,전포1동,129.0624869,35.15581403,05282,21050601001,164300402,
60,10,60,전포초등학교,부산광역시,부산진구,전포2동,129.0624276,35.15999348,05251,21050611005,164340401,
61,10,61,양정대원칸타빌,부산광역시,부산진구,양정1동,129.0676539,35.17066447,05023,21050561011,164190101,
62,10,62,하마정,부산광역시,연제구,거제3동,129.0680996,35.17674541,13037,21130531002,164010101,
63,10,63,거제리,부산광역시,연제구,거제3동,129.0702704,35.18240393,13033,21130531004,193580102,
64,10,64,경남아파트.농산물품질관리원,부산광역시,연제구,거제3동,129.0722243,35.18622136,13028,21130531011,193870101,
65,10,65,법원검찰청,부산광역시,연제구,거제1동,129.0752956,35.18919365,13012,21130511005,193840102,
66,10,66,거제1치안센터,부산광역시,연제구,거제1동,129.0781153,35.19107252,13010,21130511021,193520101,
67,10,67,교대역,부산광역시,연제구,거제1동,129.0799357,35.19671176,13003,21130511015,193350401,
68,10,68,화신아파트,부산광역시,동래구,사직3동,129.0767992,35.19914251,06140,21060601001,165640301,
69,10,69,대선주조,부산광역시,동래구,사직3동,129.0720732,35.19661496,06135,21060601010,165960201,
70,10,70,웨딩아시아드,부산광역시,동래구,사직3동,129.0690796,35.19600978,06132,21060601006,193720302,
71,10,71,사직운동장,부산광역시,동래구,사직1동,129.0651867,35.19516761,06126,21060581002,166660301,
72,10,72,사직야구장,부산광역시,동래구,사직1동,129.0622293,35.19610719,06131,21060581005,166260301,
73,10,73,사직사거리,부산광역시,동래구,사직1동,129.0603073,35.19844498,06122,21060581003,166610401,
74,10,74,삼익아파트,부산광역시,동래구,사직1동,129.0594075,35.19962586,06110,21060581006,166600301,
75,10,75,사직2동주민센터,부산광역시,동래구,사직2동,129.0570753,35.20041567,06109,21060591012,210140301,
76,10,76,사직종합사회복지관,부산광역시,동래구,사직2동,129.0552907,35.20051679,06114,21060591013,165800302,
77,10,77,사직중학교,부산광역시,동래구,사직2동,129.0531467,35.19794773,06116,21060591003,165800301,
78,10,78,사직여고,부산광역시,동래구,사직2동,129.053573,35.19661692,06117,21060591004,165800303,
79,10,79,원광사,부산광역시,동래구,사직2동,129.0541156,35.19478345,06104,21060591010,165800304,
80,10,80,사직여중,부산광역시,동래구,사직2동,129.0568011,35.19481021,06119,21060591014,165800305,
81,10,81,사직주차장,부산광역시,동래구,사직2동,129.0581538,35.19579754,0,21060591015,0,
82,100,1,청강리공영차고지,부산광역시,,,129.2135233,35.22549324,16265,50000000171,0,
83,100,2,청강리공영차고지,부산광역시,,,129.2139284,35.22524478,16264,50000000370,202130201,
84,100,3,장보고숯불갈비,부산광역시,기장군,기장읍,129.210872,35.21743445,16068,21310111013,196300201,
85,100,4,오신,부산광역시,기장군,기장읍,129.2086503,35.20806412,16059,21310111106,202110301,
86,100,5,내리초등학교,부산광역시,기장군,기장읍,129.2061518,35.20436598,16203,21310111112,0,
